
Alt space concrete anchors

{bl:1667.609,   br:2939.806,   tr:2867.444,   tl:1391.920},
{bl:1606.878,   br:2881.774,   tr:2905.630,   tl:1467.811},
{bl:1551.074,   br:2825.759,   tr:2946.430,   tl:1546.984},
{bl:1497.665,   br:2771.628,   tr:2990.048,   tl:1628.527},
{bl:1449.814,   br:2721.125,   tr:3036.336,   tl:1711.963},
{bl:1406.231,   br:2672.085,   tr:3085.159,   tl:1797.097},
{bl:1370.077,   br:2626.535,   tr:3136.432,   tl:1883.743},
{bl:1339.466,   br:2583.964,   tr:3189.975,   tl:1971.612},
{bl:1314.266,   br:2545.579,   tr:3245.736,   tl:2060.630},
{bl:1486.891,   br:2382.941,   tr:3104.132,   tl:2143.513},
{bl:1509.840,   br:2423.907,   tr:3045.629,   tl:2058.744},
{bl:1537.300,   br:2469.490,   tr:2989.460,   tl:1974.701},
{bl:1569.087,   br:2517.636,   tr:2935.627,   tl:1892.179},
{bl:1607.476,   br:2569.620,   tr:2884.220,   tl:1811.459},
{bl:1648.443,   br:2624.031,   tr:2835.413,   tl:1732.691},
{bl:1697.300,   br:2680.328,   tr:2789.356,   tl:1656.285},
{bl:1748.194,   br:2738.166,   tr:2746.162,   tl:1582.553},
{bl:1803.676,   br:2799.791,   tr:2706.019,   tl:1511.767},
{bl:1948.975,   br:2665.335,   tr:2545.901,   tl:1640.742},
{bl:1898.202,   br:2601.308,   tr:2587.866,   tl:1706.240},
{bl:1850.469,   br:2539.870,   tr:2633.618,   tl:1774.758},
{bl:1807.490,   br:2479.896,   tr:2682.314,   tl:1846.217},
{bl:1768.553,   br:2423.483,   tr:2733.815,   tl:1920.253},
{bl:1733.993,   br:2367.680,   tr:2787.941,   tl:1996.557},
{bl:1704.155,   br:2317.491,   tr:2844.552,   tl:2074.888},
{bl:1678.643,   br:2269.598,   tr:2903.518,   tl:2155.003},
{bl:1661.428,   br:2223.022,   tr:2964.646,   tl:2236.721},
{bl:1833.796,   br:2066.806,   tr:2830.593,   tl:2339.565},
{bl:1850.880,   br:2115.164,   tr:2766.383,   tl:2262.219},
{bl:1872.744,   br:2166.397,   tr:2704.398,   tl:2186.009},
{bl:1899.031,   br:2222.539,   tr:2644.751,   tl:2111.772},
{bl:1931.003,   br:2279.789,   tr:2587.622,   tl:2039.703},
{bl:1966.692,   br:2340.254,   tr:2533.101,   tl:1970.128},
{bl:2005.562,   br:2403.377,   tr:2481.504,   tl:1903.231},
{bl:2051.148,   br:2469.474,   tr:2432.783,   tl:1839.413},
{bl:2097.965,   br:2535.844,   tr:2387.375,   tl:1778.883},
{bl:2249.127,   br:2411.526,   tr:2231.895,   tl:1921.816},
{bl:2206.596,   br:2341.564,   tr:2279.708,   tl:1978.086},
{bl:2167.063,   br:2272.816,   tr:2331.462,   tl:2037.532},
{bl:2130.597,   br:2206.958,   tr:2386.261,   tl:2100.043},
{bl:2097.270,   br:2142.608,   tr:2444.040,   tl:2165.428},
{bl:2068.191,   br:2080.192,   tr:2504.417,   tl:2233.377},
{bl:2043.284,   br:2022.209,   tr:2567.298,   tl:2303.652},
{bl:2024.364,   br:1966.029,   tr:2632.472,   tl:2376.059},
{bl:2007.546,   br:1914.255,   tr:2699.760,   tl:2450.407},
{bl:2185.773,   br:1763.187,   tr:2575.651,   tl:2568.509},
{bl:2197.905,   br:1820.322,   tr:2504.959,   tl:2498.346},
{bl:2215.190,   br:1880.283,   tr:2436.345,   tl:2429.563},
{bl:2238.334,   br:1944.377,   tr:2369.953,   tl:2362.980},
{bl:2265.003,   br:2010.917,   tr:2306.017,   tl:2298.819},
{bl:2294.868,   br:2079.770,   tr:2244.701,   tl:2237.311},
{bl:2328.874,   br:2149.681,   tr:2186.299,   tl:2178.652},
{bl:2366.652,   br:2222.284,   tr:2130.933,   tl:2123.063},
{bl:2408.863,   br:2297.138,   tr:2078.866,   tl:2070.814},
{bl:2566.440,   br:2188.669,   tr:1930.120,   tl:2222.461},
{bl:2528.547,   br:2110.701,   tr:1985.349,   tl:2271.358},
{bl:2493.947,   br:2033.270,   tr:2044.572,   tl:2323.359},
{bl:2462.367,   br:1958.903,   tr:2106.924,   tl:2378.416},
{bl:2434.139,   br:1886.904,   tr:2172.044,   tl:2436.334},
{bl:2408.968,   br:1816.315,   tr:2239.743,   tl:2496.923},
{bl:2388.467,   br:1746.055,   tr:2309.839,   tl:2559.984},
{bl:2370.460,   br:1682.452,   tr:2382.053,   tl:2625.338},
{bl:2357.024,   br:1620.215,   tr:2456.277,   tl:2692.830},
{bl:2530.366,   br:1486.355,   tr:2345.316,   tl:2822.428},
{bl:2542.839,   br:1551.700,   tr:2267.582,   tl:2758.836},
{bl:2559.096,   br:1623.207,   tr:2191.522,   tl:2696.660},
{bl:2579.248,   br:1695.472,   tr:2117.516,   tl:2636.841},
{bl:2602.046,   br:1771.548,   tr:2045.675,   tl:2579.479},
{bl:2628.703,   br:1849.870,   tr:1976.328,   tl:2524.813},
{bl:2658.528,   br:1929.591,   tr:1909.662,   tl:2472.987},
{bl:2691.689,   br:2009.996,   tr:1846.030,   tl:2424.178},
{bl:2727.849,   br:2089.937,   tr:1785.728,   tl:2378.553},
{bl:2890.261,   br:2003.453,   tr:1647.600,   tl:2535.855},
{bl:2857.728,   br:1917.320,   tr:1712.081,   tl:2578.896},
{bl:2826.403,   br:1833.815,   tr:1780.373,   tl:2624.809},
{bl:2798.191,   br:1749.155,   tr:1851.687,   tl:2673.658},
{bl:2773.855,   br:1667.494,   tr:1925.479,   tl:2725.334},
{bl:2750.472,   br:1587.148,   tr:2001.593,   tl:2779.615},
{bl:2732.572,   br:1508.554,   tr:2079.679,   tl:2836.409},
{bl:2717.928,   br:1431.477,   tr:2159.614,   tl:2895.509},
{bl:2706.237,   br:1359.341,   tr:2241.155,   tl:2956.852},
{bl:2879.914,   br:1244.887,   tr:2147.593,   tl:3095.138},
{bl:2890.138,   br:1325.611,   tr:2062.547,   tl:3037.295},
{bl:2904.436,   br:1406.937,   tr:1978.623,   tl:2980.970},
{bl:2921.627,   br:1490.501,   tr:1896.360,   tl:2926.952},
{bl:2941.698,   br:1576.836,   tr:1815.711,   tl:2875.395},
{bl:2965.374,   br:1663.071,   tr:1737.230,   tl:2826.446},
{bl:2993.644,   br:1751.590,   tr:1660.969,   tl:2780.227},
{bl:3023.268,   br:1839.003,   tr:1587.446,   tl:2736.921},
{bl:3056.668,   br:1928.797,   tr:1516.850,   tl:2696.628},
{bl:3220.962,   br:1870.143,   tr:1395.903,   tl:2857.777},
{bl:3190.273,   br:1775.281,   tr:1471.595,   tl:2896.110},
{bl:3162.719,   br:1683.134,   tr:1550.656,   tl:2937.057},
{bl:3136.904,   br:1591.061,   tr:1631.998,   tl:2980.793},
{bl:3114.420,   br:1499.879,   tr:1715.307,   tl:3027.192},
{bl:3095.028,   br:1409.004,   tr:1800.315,   tl:3076.189},
{bl:3077.432,   br:1321.019,   tr:1886.706,   tl:3127.585},
{bl:3064.060,   br:1232.218,   tr:1974.498,   tl:3181.298},
{bl:3052.747,   br:1148.705,   tr:2063.341,   tl:3237.211}

NewFitness: 0.8274672273858416 index.html:665:13
(-20.057635405668353, 2165.021840088569), (3471.6181250175077, 2838.1264364484095)
 (0, 0), (3698.2311903506793, 0)
