
Mini Show frame


{bl:754.084,   br:1215.333,   tr:1779.799,   tl:1496.731},
{bl:838.625,   br:1272.382,   tr:1699.887,   tl:1400.799},
{bl:928.274,   br:1333.948,   tr:1621.321,   tl:1304.335},
{bl:1020.178,   br:1399.626,   tr:1545.234,   tl:1208.467},
{bl:1114.234,   br:1468.441,   tr:1472.051,   tl:1113.370},
{bl:1209.546,   br:1543.771,   tr:1402.173,   tl:1019.018},
{bl:1306.125,   br:1619.240,   tr:1336.066,   tl:926.159},
{bl:1404.586,   br:1700.132,   tr:1274.432,   tl:834.749},
{bl:1503.285,   br:1784.192,   tr:1217.926,   tl:745.511},
{bl:1566.030,   br:1703.849,   tr:1075.479,   tl:835.292},
{bl:1469.547,   br:1614.637,   tr:1138.334,   tl:915.598},
{bl:1374.034,   br:1528.453,   tr:1206.846,   tl:999.508},
{bl:1280.007,   br:1445.713,   tr:1279.562,   tl:1086.121},
{bl:1188.809,   br:1366.076,   tr:1355.699,   tl:1174.946},
{bl:1100.663,   br:1289.280,   tr:1434.800,   tl:1265.382},
{bl:1014.391,   br:1216.353,   tr:1516.367,   tl:1357.157},
{bl:932.263,   br:1150.114,   tr:1600.009,   tl:1450.026},
{bl:853.564,   br:1088.457,   tr:1685.442,   tl:1543.750},
{bl:968.204,   br:966.755,   tr:1605.517,   tl:1608.749},
{bl:1037.417,   br:1035.828,   tr:1515.731,   tl:1519.645},
{bl:1112.328,   br:1110.895,   tr:1427.032,   tl:1431.225},
{bl:1191.778,   br:1189.271,   tr:1339.982,   tl:1344.440},
{bl:1273.445,   br:1272.996,   tr:1254.858,   tl:1259.606},
{bl:1358.899,   br:1358.083,   tr:1172.058,   tl:1177.171},
{bl:1448.330,   br:1445.928,   tr:1092.128,   tl:1097.641},
{bl:1539.439,   br:1537.257,   tr:1015.835,   tl:1021.718},
{bl:1632.524,   br:1632.956,   tr:943.994,   tl:950.270},
{bl:1709.158,   br:1565.944,   tr:828.450,   tl:1080.359},
{bl:1620.081,   br:1468.098,   tr:908.818,   tl:1143.694},
{bl:1535.719,   br:1371.202,   tr:993.273,   tl:1211.930},
{bl:1452.179,   br:1277.245,   tr:1080.504,   tl:1284.312},
{bl:1371.173,   br:1188.289,   tr:1169.672,   tl:1360.208},
{bl:1295.926,   br:1097.794,   tr:1260.494,   tl:1439.051},
{bl:1222.813,   br:1013.897,   tr:1352.599,   tl:1520.377},
{bl:1155.656,   br:930.808,   tr:1445.753,   tl:1603.832},
{bl:1093.347,   br:853.221,   tr:1539.828,   tl:1689.095},
{bl:1222.792,   br:753.016,   tr:1493.285,   tl:1783.339},
{bl:1280.249,   br:837.678,   tr:1396.300,   tl:1703.433},
{bl:1341.031,   br:927.536,   tr:1299.515,   tl:1625.081},
{bl:1406.779,   br:1019.330,   tr:1203.317,   tl:1549.225},
{bl:1476.638,   br:1112.857,   tr:1108.079,   tl:1476.209},
{bl:1550.648,   br:1208.553,   tr:1013.223,   tl:1406.494},
{bl:1628.409,   br:1305.838,   tr:919.546,   tl:1340.647},
{bl:1708.742,   br:1403.652,   tr:827.323,   tl:1279.245},
{bl:1790.862,   br:1505.996,   tr:737.247,   tl:1222.937},
{bl:1275.364,   br:1272.452,   tr:1253.967,   tl:1258.787},


(-0.11720408208870457, 2060.518487285115), (1460.5041038315098, 2061.4934109079113)
 (0, 0), (1454.1261365915532, 0)
