Washington Frame Post Build Video:


{bl:1528.612,   br:2771.861,   tr:2447.143,   tl:876.430},
{bl:1437.103,   br:2722.754,   tr:2475.188,   tl:950.055},
{bl:1346.058,   br:2675.926,   tr:2506.503,   tl:1028.751},
{bl:1257.252,   br:2630.840,   tr:2541.430,   tl:1110.975},
{bl:1169.643,   br:2591.747,   tr:2579.790,   tl:1195.681},
{bl:1084.849,   br:2553.819,   tr:2621.352,   tl:1282.782},
{bl:1000.187,   br:2520.344,   tr:2666.054,   tl:1371.581},
{bl:920.300,   br:2490.691,   tr:2713.677,   tl:1461.860},
{bl:844.747,   br:2463.795,   tr:2764.128,   tl:1553.192},
{bl:970.722,   br:2296.376,   tr:2616.827,   tl:1627.883},
{bl:1037.149,   br:2323.689,   tr:2563.321,   tl:1541.535},
{bl:1108.726,   br:2356.450,   tr:2512.794,   tl:1456.082},
{bl:1183.608,   br:2393.715,   tr:2465.290,   tl:1372.686},
{bl:1262.156,   br:2432.531,   tr:2420.992,   tl:1291.707},
{bl:1343.283,   br:2474.998,   tr:2380.050,   tl:1213.634},
{bl:1426.329,   br:2523.941,   tr:2342.697,   tl:1138.752},
{bl:1511.539,   br:2571.641,   tr:2309.098,   tl:1068.281},
{bl:1596.620,   br:2621.926,   tr:2279.402,   tl:1002.648},
{bl:1684.258,   br:2477.789,   tr:2112.518,   tl:1141.117},
{bl:1605.302,   br:2423.607,   tr:2143.730,   tl:1199.170},
{bl:1525.206,   br:2372.106,   tr:2179.857,   tl:1262.301},
{bl:1446.977,   br:2322.344,   tr:2219.935,   tl:1330.145},
{bl:1372.474,   br:2275.983,   tr:2263.698,   tl:1401.676},
{bl:1300.360,   br:2234.861,   tr:2310.956,   tl:1476.577},
{bl:1231.786,   br:2196.321,   tr:2361.539,   tl:1554.319},
{bl:1167.576,   br:2162.078,   tr:2415.182,   tl:1634.494},
{bl:1109.862,   br:2211.295,   tr:2471.712,   tl:1716.840},
{bl:1255.964,   br:1965.616,   tr:2332.157,   tl:1818.513},
{bl:1308.946,   br:1997.712,   tr:2272.043,   tl:1741.728},
{bl:1366.199,   br:2035.613,   tr:2214.972,   tl:1666.683},
{bl:1428.517,   br:2077.529,   tr:2160.895,   tl:1594.284},
{bl:1494.023,   br:2122.239,   tr:2110.188,   tl:1525.117},
{bl:1562.825,   br:2171.301,   tr:2063.178,   tl:1459.509},
{bl:1634.768,   br:2223.266,   tr:2019.973,   tl:1397.938},
{bl:1708.498,   br:2278.922,   tr:1980.950,   tl:1341.090},
{bl:1785.553,   br:2334.648,   tr:1946.203,   tl:1289.546},
{bl:1898.207,   br:2197.620,   tr:1782.281,   tl:1442.788},
{bl:1827.317,   br:2136.838,   tr:1819.444,   tl:1489.264},
{bl:1756.861,   br:2079.507,   tr:1861.838,   tl:1540.556},
{bl:1691.049,   br:2023.365,   tr:1908.599,   tl:1596.523},
{bl:1628.490,   br:1971.263,   tr:1959.274,   tl:1656.645},
{bl:1567.576,   br:1922.444,   tr:2013.722,   tl:1720.549},
{bl:1511.684,   br:1875.798,   tr:2071.477,   tl:1787.746},
{bl:1458.140,   br:1837.830,   tr:2132.458,   tl:1857.828},
{bl:1412.625,   br:1799.403,   tr:2196.192,   tl:1930.622},
{bl:1571.154,   br:1638.920,   tr:2067.655,   tl:2051.607},
